Date	RELIANCE IS Equity	TCS IS Equity	BHARTI IS Equity	INFO IS Equity	HUVR IS Equity	ITC IS Equity	LT IS Equity	HDFCB IS Equity	ICICIBC IS Equity	KMB IS Equity	BAF IS Equity	SUNP IS Equity	TTAN IS Equity	SBIN IS Equity	MSIL IS Equity	MM IS Equity	AXSB IS Equity	HCLT IS Equity	UTCEM IS Equity	WPRO IS Equity	TATA IS Equity	APNT IS Equity	INDIGO IS Equity	COAL IS Equity	JSTL IS Equity	SBILIFE IS Equity	BJAUT IS Equity	DRRD IS Equity	ADSEZ IS Equity	GRASIM IS Equity	TMPV IS Equity	NIFTY Index
44237	899.3193159	3213.3	579.3232042	1296.5	2200.816218	215.2652582	1552.85	790.875	632.15	390.41	547.59	627.1	1563.15	392.25	7621.7	914.15	734.8	959.45	6392.15	219.5	69.025	2510.6	1623.65	138.3	410.75	911.35	4151.55	964.81	576.85	1226.523656	199.1071797	15106.5
44238	936.3980741	3206	587.0776151	1292.65	2227.889555	214.2246439	1530.5	786.175	630.65	392.2	556.705	643.65	1524.7	390.15	7667.35	914.2	740.1	970.4	6427.15	218.5	69.47	2505.5	1630.35	137.15	408.85	907.35	4181.9	965.01	591.85	1230.557618	196.746225	15173.3
44239	929.9753408	3190.8	575.4459988	1309.8	2206.772352	205.7105269	1521.35	790.975	647.6	390.21	557.745	627.15	1494.2	393.15	7568.5	908.55	750.4	960.4	6397.25	221	68.05	2486.1	1643.15	133.85	403.8	896.85	4136.05	958.4	616.6	1237.181284	196.9883742	15163.3
44240	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44241	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44242	925.8757238	3139.85	582.7587027	1309.65	2180.831172	206.7984418	1537.65	808.3	673.95	397.19	577.985	627.5	1484.75	406.95	7596.65	911.85	794	954.65	6407.75	219.85	67.215	2456.75	1642.55	132.25	403.7	877.25	4122.3	941.97	627.75	1223.087318	201.8010896	15314.7
44243	938.1290235	3108.8	583.0040955	1290.4	2162.027509	206.4673373	1549.45	813.325	658.35	403.93	576.025	631.15	1471.85	402.35	7697.05	912.2	775.05	952.3	6457.8	218.775	69.92	2450.25	1610.45	133.75	407.65	872	4132.85	939.32	636.55	1238.82475	199.2887916	15313.45
44244	948.9474573	3073.1	582.9059384	1281.3	2130.327092	205.9943308	1548.35	793.25	657.35	397.89	570.515	621.25	1460.4	411.75	7503.2	914.95	777.75	943.2	6419.2	215.1	69.68	2388.15	1610.05	135.2	408.7	877.15	4165.7	920.11	655.75	1233.545738	199.863896	15208.9
44245	941.8642301	3057.35	578.1943976	1292.45	2113.541622	207.0349451	1524.6	777.15	644.65	389.09	556.335	616.05	1433	415.2	7497.55	894.45	777	948.1	6325.85	216.475	69.775	2470.75	1592.4	139.95	407.65	893.5	4115.45	923.39	664.05	1224.780586	196.0500461	15118.95
44246	947.6036939	3071.85	570.6363009	1291.3	2147.260234	204.2915074	1508.8	769.55	624.05	387.75	549.795	607.3	1425.55	399.55	7323	879.25	749.65	950.15	6208.5	214.975	67.07	2416.45	1565.8	139.25	395.65	881.5	4001.1	936.29	653.5	1213.17672	188.7855701	14981.75
44247	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44248	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
